species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,nb.of.cross.points,vegetative.area,nb.of.opened.flowers.per.fu,nb.of.total.flowers.per.fu,nb.of.opened.flowers,nb.of.total.flowers,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Achillea millefolium,27/07/2011,12:00,brandon hill,grassland park,single capitulum,2011,1,38,494,38,4,12,0,1,0.006944444,12,16,5928,9120,853632,1313280
Achillea millefolium,27/07/2011,12:00,brandon hill,grassland park,single capitulum,2011,2,1008,360,0,2,3,0,14,0.097222222,3,5,1080,6840,11108.57143,70354.28571
Achillea millefolium,27/07/2011,12:00,brandon hill,grassland park,single capitulum,2011,3,550,220,0,2,9,0,3,0.020833333,9,11,1980,8470,95040,406560
Achillea millefolium,27/07/2011,12:00,brandon hill,grassland park,single capitulum,2011,4,395,711,79,4,4,0,6,0.041666667,4,8,2844,9480,68256,227520
Achillea millefolium,27/07/2011,12:00,brandon hill,grassland park,single capitulum,2011,5,177,354,0,1,4,0,5,0.034722222,4,5,1416,2655,40780.8,76464
Achillea millefolium,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,1,45,132,0,8,8,0,3,0.020833333,8,16,1056,2832,50688,135936
Achillea millefolium,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,2,60,399,0,6,6,0,13,0.090277778,6,12,2394,5508,26518.15385,61011.69231
Achillea millefolium,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,3,228,104,0,5,2,0,22,0.152777778,2,7,208,2324,1361.454545,15211.63636
Achillea millefolium,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,4,11,156,0,6,3,0,23,0.159722222,3,9,468,1503,2930.086957,9410.086957
Achillea millefolium,14/07/2011,10:30,troopers hill,grassland park,single capitulum,2011,5,8,700,0,5,5,0,2,0.013888889,5,10,3500,7080,252000,509760
Aethusa cynapium,16/08/2011,10:00,river frome,wetland,single flower,2011,1,280,595,595,0,1,0,9,0.0625,1,1,595,1470,9520,23520
Aethusa cynapium,16/08/2011,10:00,river frome,wetland,single flower,2011,2,840,1785,1785,0,1,0,14,0.097222222,1,1,1785,4410,18360,45360
Aethusa cynapium,16/08/2011,10:00,river frome,wetland,single flower,2011,3,700,1275,1275,0,1,0,11,0.076388889,1,1,1275,3250,16690.90909,42545.45455
Aethusa cynapium,16/08/2011,10:00,river frome,wetland,single flower,2011,4,490,1360,1360,0,1,0,9,0.0625,1,1,1360,3210,21760,51360
Aethusa cynapium,16/08/2011,10:00,river frome,wetland,single flower,2011,5,420,340,340,0,1,0,6,0.041666667,1,1,340,1100,8160,26400
Agrimonia eupatoria,11/07/2011,10:00,ashton court,woodland carpark,single flower,2011,1,42,6,13,0,1,0,1,0.006944444,1,1,6,61,864,8784
Agrimonia eupatoria,11/07/2011,10:00,ashton court,woodland carpark,single flower,2011,2,34,11,24,0,1,0,2,0.013888889,1,1,11,69,792,4968
Agrimonia eupatoria,11/07/2011,10:00,ashton court,woodland carpark,single flower,2011,3,45,8,76,0,1,0,3,0.020833333,1,1,8,129,384,6192
Agrimonia eupatoria,11/07/2011,10:00,ashton court,woodland carpark,single flower,2011,4,135,18,98,0,1,0,5,0.034722222,1,1,18,251,518.4,7228.8
Agrimonia eupatoria,11/07/2011,10:00,ashton court,woodland carpark,single flower,2011,5,62,7,136,0,1,0,2,0.013888889,1,1,7,205,504,14760
Agrimonia eupatoria,01/09/2011,NA,dolebury warren,grassland nature reserve,single flower,2011,1,19,12,31,0,1,0,1,0.006944444,1,1,12,62,1728,8928
Agrimonia eupatoria,01/09/2011,NA,dolebury warren,grassland nature reserve,single flower,2011,2,16,7,32,0,1,0,2,0.013888889,1,1,7,55,504,3960
Agrimonia eupatoria,01/09/2011,NA,dolebury warren,grassland nature reserve,single flower,2011,3,3,7,72,0,1,0,5,0.034722222,1,1,7,82,201.6,2361.6
Agrimonia eupatoria,01/09/2011,NA,dolebury warren,grassland nature reserve,single flower,2011,4,22,37,78,0,1,0,3,0.020833333,1,1,37,137,1776,6576
