,,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.open.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.total.flowers.per.floral.unit,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover,nb.of.open.flowers.per.m².of.vegetative.cover.at.the.peak.of.flowering.season,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover,nb.of.total.flowers.per.m².of.vegetative.cover
species,FU.category,mean,var,n,mean,var,n,mean,var,n,mean,mean,var,n
Acer campestre,single flower,1,0,5,1,0,5,250.56,67739.33,5,NA,1447.2,212362.56,5
Acer pseudoplatanus,single flower,1,0,10,1,0,10,4555.68,38324766.67,10,7582.15,12631.87,266310577.8,10
Achillea millefolium,single capitulum,5.6,10.04,10,9.9,15.66,10,140231.51,68255968746,10,175374.06,282550.77,1.60E+11,10
Aesculus hippocastanum,single flower,1,0,13,1,0,13,3035.23,4044754.23,13,NA,6335,10152894.64,13
Aethusa cynapium,single flower,1,0,5,1,0,5,14898.18,34152634.71,5,30789.58,37837.09,149354515,5
Agrimonia eupatoria,single flower,1,0,10,1,0,10,842.4,301057.28,10,689.04,6793.44,12270679.3,10
Ajuga reptans,single flower,1,0,5,1,0,5,2016,933120,5,13248,20448,71383680,5
Allium cepa,primary umbel,243.38,29481.98,8,912,15770.29,8,25371.75,570016583.4,8,NA,189162,9245007648,8
Allium schoenoprasum,primary umbel,23,NA,1,45,NA,1,13248,NA,1,15897.6,32400,NA,1
Anagallis arvensis,single flower,1,0,20,1,0,20,775.25,212653.57,20,1667.31,6308.64,21870075.91,20
Anemone nemorosa,single flower,1,0,8,1,0,8,35.02,1014.43,8,28.81,49.56,751.97,8
Angelica sylvestris,secondary umbel,17.3,308.68,10,47,101.11,10,13012.79,405796918.5,10,13189.19,199830.12,50183373617,10
Anthriscus sylvestris,secondary umbel,8.4,14.3,5,13.6,0.3,5,26245.96,814075446.6,5,29526.71,73874.62,1579583857,5
Arctium agg.,single capitulum,26.22,120.44,9,47.33,539,9,1496.94,1150106,9,1602.17,28799.53,371959328.6,9
Armeria maritima,single capitulum,6.6,2.8,5,43.6,463.3,5,1427.66,413630.3,5,1459.38,28993.37,152033358,5
Aster tripolium,single capitulum,9.6,177.3,5,29.6,10.8,5,5644.8,60252595.2,5,9564.8,47216.93,372062413.3,5
Atriplex patula,single capitulum,0.4,0.27,10,13,2.44,10,1053.82,1897172.63,10,1380.87,265609.2,4035029457,10
Bellis perennis,single capitulum,95,2194.89,10,127.6,1844.27,10,28851.84,1014524973,10,68831.22,50956.8,1806935572,10
Brassica napus,single flower,1,0,15,1,0,15,1240.86,849630.65,15,1509.15,7235.27,3165872.64,15
Brassica rapa,single raceme,5,34,5,100.4,4379.3,5,620.91,739312.37,5,2351.5,25238.96,253047419.5,5
Buddleja davidii,single panicle,242.8,7116.62,10,440,20572.44,10,17768.42,149029154,10,29233.02,60864.29,821299837.6,10
Calluna vulgaris,single flower,1,0,10,1,0,10,5815.06,66825802.25,10,8343.45,32273.47,95952516.18,10
Caltha palustris,single flower,1,0,2,1,0,2,125.28,37.32,2,152.75,282.24,5374.77,2
Calystegia sepium,single flower,1,0,8,1,0,8,33.29,571.05,8,161.85,281.71,37367.91,8
Campanula rotundifolia,single flower,1,0,7,1,0,7,329.14,32585.14,7,680.05,534.86,177737.14,7
Capsella bursa-pastoris,single flower,1,0,10,1,0,10,1681.2,1141646.4,10,2024.14,12178.8,19418702.4,10
Cardamine hirsuta/flexuosa,single flower,1,0,8,1,0,8,1850.57,647547.43,8,4168.28,6971.57,9061245.55,8
Cardamine pratensis,single flower,1,0,10,1,0,10,957.6,258105.6,10,1440.45,2138.4,1334073.6,10
Castanea sativa,single ring,4,4.44,10,5,0,10,37166,1261673825,10,44179.5,59280.52,2274736432,10
Centaurea nigra,single capitulum,53.8,215.51,10,73.4,693.38,10,4390.49,9036797.71,10,21340.57,22224.39,423686406.6,10
Cerastium fontanum,single flower,1,0,15,1,0,15,660.48,273681.63,15,949.28,6133.44,11453039.84,15
Chamerion angustifolium,single flower,1,0,10,1,0,10,973.48,1531429.37,10,782,3080.58,3033610.77,10
Circaea lutetiana,single flower,1,0,10,1,0,10,804.77,121858.06,10,1104.16,2977.83,2888661.74,10
Cirsium acaule,single capitulum,92.4,5758.8,5,125.6,1710.8,5,5371.2,30086899.2,5,13105.73,30385.5,916592342,5
Cirsium arvense,single capitulum,85.8,2585.46,15,111.93,1425.64,15,5622.03,28259380.07,15,2306.96,55166.14,495911377.7,15
Cirsium palustre,single capitulum,56.8,142.4,10,63.6,191.82,10,27318.72,431696528.4,10,48121.39,222686.4,12679186580,10
Cirsium vulgare,single capitulum,195.2,8993.07,10,291.2,8923.73,10,16538.12,206508443.6,10,42034.39,195100.48,16261667372,10
Clematis vitalba,single flower,1,0,10,1,0,10,327.21,31715.44,10,388.56,1922.99,238847.32,10
Convolvulus arvensis,single flower,1,0,10,1,0,10,252.86,23632.49,10,329.6,568.29,153358.53,10
Cornus sanguinea,single flower,1,0,5,1,0,5,218.83,136168.07,5,273.54,2611.03,15524732.39,5
Corylus avellana,single catkin,73.4,598.27,10,97,436.67,10,5255.88,21274992.32,10,NA,24553.87,349786916.3,10
Crataegus monogyna,single flower,1,0,10,1,0,10,10387.69,136468114,10,19003.14,18678.16,234753100.3,10
Crepis capillaris,single capitulum,22.4,97.6,10,31.8,147.07,10,9863.68,41571917.82,10,10963.67,55085.6,539779812.3,10
Cultivated bean,single flower,1,0,10,1,0,10,518.63,242408.24,10,1274.49,2020.93,2022819.43,10
Cytisus scoparius,single flower,1,0,5,1,0,5,3883.28,8689365.51,5,7281.14,7372.55,16747220.07,5
Daucus carota,secondary umbel,32.73,212.78,15,50.47,156.84,15,53892.96,752354122.6,15,63804.99,356923.4,31378374412,15
Digitalis purpurea,single flower,1,0,10,1,0,10,194.94,30968.36,10,318.67,1860.57,624311.83,10
Epilobium hirsutum,single flower,1,0,9,1,0,9,138.01,24160.79,9,513.64,1390.16,683860.3,9
Epilobium montanum,single flower,1,0,9,1,0,9,250.74,23683.71,9,559.5,943.89,327125.21,9
Epilobium parviflorum,single flower,1,0,2,1,0,2,396,127008,2,NA,2304,4147200,2
Epilobium tetragonum,single flower,1,0,5,1,0,5,905.04,201266.21,5,1219.84,3944.16,3816160.13,5
Erica cinerea,single flower,1,0,10,1,0,10,25990.67,422970710.1,10,29798.51,52640.64,575829420.5,10
Erica tetralix,single flower,1,0,10,1,0,10,3605.47,8830528.79,10,4811.96,8932.47,33653511.96,10
Eupatorium cannabinum,single corymb,106.8,12042.18,10,293,11108,10,40826.53,3427317574,10,73875.56,172018.47,8869175387,10
Euphrasia officinalis agg.,single flower,1,0,10,1,0,10,2364,1890720,10,5834.46,4754.4,7724601.6,10
Fallopia convolvulus,single flower,1,0,5,1,0,5,2910.4,442516.8,5,NA,7704,3100680,5
Fallopia japonica,single flower,1,0,5,1,0,5,5585.41,1320589.57,5,9309.01,6116.22,1471890.52,5
Filipendula ulmaria,terminal skype,49.3,651.12,10,69.2,1007.51,10,2502.54,6150286.39,10,3195.51,9796.18,62348807.58,10
Galium aparine,single flower,1,0,5,1,0,5,176.5,5625.62,5,1134.66,941.86,44850.54,5
Galium mollugo,single flower,1,0,3,1,0,3,148.04,8111.5,3,158.62,274.86,19070.99,3
Galium saxatile,single flower,1,0,5,1,0,5,1637.49,6293979.04,5,1711.92,7504.46,27882017.04,5
Galium verum,terminal skype,33,242.22,10,52.4,494.93,10,103219.99,7788528288,10,574251.49,217124.14,23183285569,10
Geranium dissectum,single flower,1,0,17,1,0,17,226.45,22944.2,17,347.86,2091.25,2245182.44,17
Geranium molle,single flower,1,0,10,1,0,10,654.22,66881.87,10,1143.12,5907.87,22696019.07,10
Geranium pratense,single flower,1,0,5,1,0,5,162.51,8965.32,5,174.12,883.53,246079.76,5
Geranium robertianum,single flower,1,0,10,1,0,10,97.39,773.14,10,161.37,772.75,211018.1,10
Geum urbanum,single flower,1,0,10,1,0,10,58.37,1809.19,10,142.65,341.59,43732.44,10
Gladiolus sp.,single flower,1,0,7,1,0,7,42.18,1071.91,7,NA,913.88,29053.9,7
Glechoma hederacea,single flower,1,0,15,1,0,15,734.26,175534.47,15,1023.47,2930.88,1566874.25,15
Hedera helix,single head,15.1,111.21,10,29.3,200.9,10,1326.04,903799.95,10,1912.1,6415.4,9478642.04,10
Helianthemum nummularium,single flower,1,0,5,1,0,5,42.36,1182.66,5,NA,925.7,123894.45,5
Heracleum sphondylium,PB,14.67,157.95,15,27.4,38.54,15,10323.56,79707276.12,15,25374.18,41892.08,724883017.3,15
Hyacinthoides non-scripta,single flower,1,0,15,1,0,15,281.83,32433.36,15,611.91,676.92,83668.87,15
