species,date,hour,location,habitat,FU.category,year,quadrat.no.independency,distance.m,top.tree.height,top.trunk.height,bottom.tree,height.of.tree,flower.distribution,mean.flower.distribution,nb.of.floral.units.in.buds,nb.of.opened.floral.units,nb.of.fruited.floral.units,total.nb.of..floral.units.in.buds,total.nb.of..opened.floral.units,total.nb.of..fruited.floral.units,nb.of.buds.per.opened.floral.unit,nb.of.opened.flowers.per.opened.floral.unit,nb.of.fruited.flowers.per.opened.floral.unit,vegetative.area,nb.of.opened.flowers.per.m2,nb.of.total.flowers.per.m2
Acer campestre,04/05/2012,17:15,zoo-park-downs,grassland,single flower,2012,1,20,15,5,0,2,40-50,45,0,0,105,0,0,189,0,1,0,0.25,0,756
Acer campestre,04/05/2012,17:15,zoo-park-downs,grassland,single flower,2012,1,20,15,5,0,2,40-50,45,4,14,207,7.2,25.2,372.6,0,1,0,0.25,100.8,1620
Acer campestre,04/05/2012,17:15,zoo-park-downs,grassland,single flower,2012,1,20,15,5,0,2,40-50,45,9,94,141,16.2,169.2,253.8,0,1,0,0.25,676.8,1756.8
Acer campestre,04/05/2012,17:15,zoo-park-downs,grassland,single flower,2012,1,20,15,5,0,2,40-50,45,18,27,217,32.4,48.6,390.6,0,1,0,0.25,194.4,1886.4
Acer campestre,04/05/2012,17:15,zoo-park-downs,grassland,single flower,2012,1,20,15,5,0,2,40-50,45,6,39,124,10.8,70.2,223.2,0,1,0,0.25,280.8,1216.8
Acer pseudoplatanus,16/04/2012,NA,river frome,wetland,single flower,2012,1,20,45,0,-10,9,0-20,10,633,290,0,1139.4,522,0,0,1,0,0.25,2088,6645.6
Acer pseudoplatanus,16/04/2012,NA,river frome,wetland,single flower,2012,1,20,45,0,-10,9,0-20,10,245,133,0,441,239.4,0,0,1,0,0.25,957.6,2721.6
Acer pseudoplatanus,16/04/2012,NA,river frome,wetland,single flower,2012,2,20,47,0,-11,9.4,0-20,10,648,288,0,1218.24,541.44,0,0,1,0,0.25,2165.76,7038.72
Acer pseudoplatanus,16/04/2012,NA,river frome,wetland,single flower,2012,2,20,47,0,-11,9.4,0-20,10,208,128,0,391.04,240.64,0,0,1,0,0.25,962.56,2526.72
Acer pseudoplatanus,16/04/2012,NA,river frome,wetland,single flower,2012,2,20,47,0,-11,9.4,0-20,10,310,160,0,582.8,300.8,0,0,1,0,0.25,1203.2,3534.4
Acer pseudoplatanus,03/05/2012,NA,clifton-suspension- park road,managed grassland,single flower,2012,1,20,49,5,-1,8.8,30-40,35,420,260,37,2587.2,1601.6,227.92,0,1,0,0.25,6406.4,17666.88
Acer pseudoplatanus,03/05/2012,NA,clifton-suspension- park road,managed grassland,single flower,2012,1,20,49,5,-1,8.8,30-40,35,240,87,24,1478.4,535.92,147.84,0,1,0,0.25,2143.68,8648.64
