POT_NUMBER,GLYCENE_LABELLED,WATER_TREATMENT,BLOCK,ONYCH,SCHEL,ISOT,MESA,PLATY,PSEU,HYPO,FOLS,PRED,PERCENT_RLC,CUT1_SHOOT_181201,CUT2_SHOOT_140202,CUT3_SHOOT_080402,ROOT,MBC,MBN,AMMONIA,NITRATE,PHOSPHATE,ROOT_PERCENT_TOTAL_N,ROOT_D15N,ROOT_PERCENT_TOTAL_C,ROOT_D13C,SHOOT_PERCENT_TOTAL_N,SHOOT_D15N,PERCENT_SOIL_TOTAL_N,SOIL_D15N,MGN_UNFUMIGATED_SAMPLE,D15N_UNFUMIGATED_SAMPLE,MGN_FUMIGATED_SAMPLE,D15N_FUMIGATED_SAMPLE
1,Labelled,drought,1,0,0,0,0,0,0,0,0,0,14,0.08,0.18,0.75,0.73,1.44,0.30,0.92,2.45,4.64,0.85,181.53,40.15,-26.28,1.60,136.38,0.66,12.34,76.2587,35.62,159.2017156,123.05
2,Labelled,drought,2,0,0,0,0,0,0,0,0,0,23,0.05,0.19,0.59,0.65,1.67,0.35,2.48,3.02,3.09,0.95,142.04,46.03,-25.71,1.53,79.75,0.66,11.68,78.2795,58.23,223.1614275,156.35
3,Labelled,drought,3,0,0,0,0,0,0,0,0,0,13,0.08,0.28,0.61,0.59,1.49,0.25,1.30,2.00,0.38,0.86,175.65,44.32,-27.8,1.60,157.38,0.65,9.35,29.6189,31.72,35.77763437,55.62
4,Labelled,drought,4,0,0,0,0,0,0,0,0,0,20,0.04,0.18,1.08,0.73,1.61,0.25,1.54,1.93,1.02,0.95,166.00,43.97,-26.83,1.58,142.35,0.65,12.28,74.7339,32.99,206.9396375,157.08
5,Labelled,water,1,0,0,0,0,0,0,0,0,0,14,0.05,0.20,0.58,0.68,1.68,0.17,2.68,5.29,2.63,0.67,171.15,46.44,-26.92,1.19,60.33,0.69,16.43,36.251,17.78,160.0058632,185.72
6,Labelled,water,2,0,0,0,0,0,0,0,0,0,9,0.05,0.11,0.62,0.69,1.65,0.19,2.72,4.71,5.53,0.81,205.77,46.01,-26.43,1.57,176.79,0.69,7.69,46.6408,12.19,172.1772108,39.96
7,Labelled,water,3,0,0,0,0,0,0,0,0,0,11,0.08,0.14,0.84,0.87,1.47,0.19,0.93,2.77,5.11,0.64,210.85,31.26,-27.53,1.37,222.93,0.62,9.70,74.0598,27.34,202.5850179,70.47
8,Labelled,water,4,0,0,0,0,0,0,0,0,0,18,0.11,0.33,0.46,0.58,2.09,0.25,1.71,2.21,6.41,0.65,238.97,35.64,-28.74,1.33,223.97,0.64,12.66,82.5366,38.7,181.713337,146.21
9,control,drought,1,0,0,0,0,0,0,0,0,0,21,0.03,0.11,1.07,0.93,1.15,0.34,1.67,2.15,8.43,0.83,4.12,41.94,-27.41,1.62,8.51,0.63,2.69,16.3637,4.69,199.3196125,4.26
10,control,water,1,0,0,0,0,0,0,0,0,0,9,0.05,0.15,1.12,0.91,1.25,0.19,1.21,3.26,3.05,0.84,1.71,40.77,-27.56,1.43,5.64,0.68,2.89,64.7932,3.32,210.8231931,3.67
11,Labelled,drought,4,1,0,0,0,0,0,0,0,0,31,0.07,0.21,0.52,0.57,1.41,0.36,1.43,3.19,2.95,0.89,213.59,39.41,-27.29,1.80,194.95,0.64,10.04,91.0913,34.3,255.6489298,82.89
12,Labelled,drought,1,1,0,0,0,0,0,0,0,0,25,0.09,0.18,0.70,0.65,1.35,0.17,1.66,2.69,3.32,0.95,235.70,44.65,-26.13,2.05,128.6,0.67,10.22,177.0951,119.78,253.6731418,125.74
13,Labelled,drought,2,1,0,0,0,0,0,0,0,0,11,0.04,0.18,0.40,0.33,1.29,0.20,1.81,2.66,5.83,0.66,326.34,47.71,-27.7,1.31,289.25,0.62,11.24,57.9564,33.3,196.4176212,103.6
14,Labelled,drought,3,1,0,0,0,0,0,0,0,0,19,0.09,0.11,0.85,0.55,0.81,0.04,1.49,2.32,0.00,0.93,280.18,42.11,-27.28,1.94,127.91,0.67,11.60,85.3923,101.65,132.7918849,162.04
15,Labelled,water,4,1,0,0,0,0,0,0,0,0,20,0.10,0.25,0.59,0.53,1.66,0.38,2.21,3.49,9.14,0.71,182.49,43.70,-28.6,1.23,237.46,0.63,7.36,29.9936,52.22,135.0453592,100.05
16,Labelled,water,1,1,0,0,0,0,0,0,0,0,17,0.12,0.28,0.64,0.82,1.42,0.20,1.88,3.26,7.13,0.75,256.36,43.72,-27.87,1.32,197.78,0.61,9.05,18.3245,37.94,224.1024502,112.42
17,Labelled,water,2,1,0,0,0,0,0,0,0,0,19,0.10,0.24,0.87,0.91,1.78,0.14,0.74,3.60,0.00,0.61,134.36,45.97,-27.1,1.25,113.41,0.69,8.33,74.2534,15.01,182.3211307,58.58
18,Labelled,water,3,1,0,0,0,0,0,0,0,0,21,0.05,0.34,0.29,0.35,0.97,0.15,2.92,3.15,5.55,0.84,351.78,43.50,-27.35,1.48,402.09,0.68,9.61,53.7,95.21,113.7401339,78.18
19,control,drought,4,1,0,0,0,0,0,0,0,0,10,0.05,0.11,0.87,0.74,1.74,0.23,0.88,1.78,0.00,0.86,5.50,38.10,-27.57,1.07,11.52,0.67,4.40,78.8155,3.27,122.9965844,17.71
20,control,water,2,1,0,0,0,0,0,0,0,0,18,0.10,0.33,0.37,0.45,1.15,0.09,2.37,4.25,3.08,0.85,0.49,40.83,-28.75,1.46,3.2,0.63,3.50,52.1645,1.66,199.2557367,2.43
21,Labelled,drought,3,0,1,0,0,0,0,0,0,0,10,0.04,0.14,0.94,0.55,1.41,0.11,0.81,2.20,0.00,0.88,213.25,44.17,-25.79,1.63,144.72,0.64,10.96,47.4358,25.41,201.1342948,118.76
22,Labelled,drought,4,0,1,0,0,0,0,0,0,0,27,0.11,0.23,0.48,0.53,0.69,0.10,0.96,1.52,2.86,0.81,212.00,43.43,-28.61,1.50,244.66,0.61,12.26,83.891,41.24,203.7903479,145.25
23,Labelled,drought,1,0,1,0,0,0,0,0,0,0,17,0.09,0.23,0.76,0.70,0.80,0.12,1.44,2.81,3.87,0.84,275.78,44.10,-27.99,1.15,184.44,0.63,11.88,88.1705,48.15,209.4059343,120.82
24,Labelled,drought,2,0,1,0,0,0,0,0,0,0,23,0.13,0.24,0.41,0.39,1.75,0.31,1.97,1.78,4.39,0.72,253.26,43.80,-28.63,1.48,308.12,0.61,15.56,72.4314,22.24,200.7864759,97.08
25,Labelled,water,3,0,1,0,0,0,0,0,0,0,21,0.11,0.24,0.80,0.78,0.65,0.22,2.06,3.85,10.55,0.74,300.38,44.93,-27.45,1.02,95.52,0.70,10.54,20.8364,32.09,181.3248625,113.17
26,Labelled,water,4,0,1,0,0,0,0,0,0,0,25,0.08,0.26,0.27,0.41,1.82,0.13,1.45,3.52,4.00,0.71,236.82,47.07,-27.33,1.36,172.54,0.70,11.92,45.9962,26.9,83.15690831,112.15
27,Labelled,water,1,0,1,0,0,0,0,0,0,0,25,0.09,0.22,0.58,0.53,0.67,0.10,1.01,3.39,0.00,0.79,222.78,43.38,-28.68,1.17,309.99,0.62,9.57,30.7932,20.38,161.5219063,122.81
28,Labelled,water,2,0,1,0,0,0,0,0,0,0,29,0.08,0.26,0.82,0.78,1.41,0.17,0.99,2.53,3.80,0.78,231.66,39.70,-27.45,1.24,158.41,0.66,12.01,27.7922,20.04,217.6789276,93.35
29,control,drought,3,0,1,0,0,0,0,0,0,0,21,0.13,0.17,0.50,0.56,1.50,0.25,2.22,3.92,2.99,0.75,0.62,36.96,-28.32,1.38,4.7,0.60,2.01,56.5264,1.27,47.6480056,11.92
30,control,water,4,0,1,0,0,0,0,0,0,0,13,0.07,0.20,0.74,0.66,1.53,0.18,1.52,2.42,3.58,0.72,2.53,42.42,-28.64,1.18,9.11,0.72,3.92,88.4251,2.92,251.0568954,5.23
31,Labelled,drought,1,0,0,1,0,0,0,0,0,0,20,0.13,0.22,0.51,0.49,1.57,0.19,1.55,1.65,5.71,0.86,248.72,43.84,-27.86,1.15,197.14,0.63,13.03,75.3208,46.98,216.9291809,141.21
32,Labelled,drought,3,0,0,1,0,0,0,0,0,0,14,0.09,0.23,0.48,0.54,1.02,0.13,1.53,2.08,0.00,0.88,284.03,39.09,-26.49,1.29,176.76,0.75,12.44,83.5034,33.19,196.9979789,117.01
33,Labelled,drought,1,0,0,1,0,0,0,0,0,0,23,0.08,0.21,0.25,0.34,1.30,0.17,2.46,3.16,2.64,0.74,175.77,45.10,-28.06,1.70,335.09,0.56,11.35,8.8519,44.59,75.84701749,147.94
34,Labelled,drought,2,0,0,1,0,0,0,0,0,0,19,0.13,0.26,0.50,0.57,0.90,0.12,2.02,2.97,0.00,0.89,139.96,39.62,-28.29,1.75,251.82,0.73,12.69,67.7793,28.69,182.389306,118.59
35,Labelled,water,3,0,0,1,0,0,0,0,0,0,19,0.10,0.20,0.80,0.99,1.17,0.10,1.63,2.53,2.81,0.80,230.90,41.60,-28.02,1.36,299.53,0.50,9.91,76.9955,35.37,216.1463283,86.94
36,Labelled,water,4,0,0,1,0,0,0,0,0,0,20,0.15,0.29,0.43,0.38,0.46,0.15,7.67,3.27,5.09,0.85,176.73,45.28,-28.4,1.11,83.81,0.69,12.00,47.1122,312.29,89.56285629,409.55
37,Labelled,water,1,0,0,1,0,0,0,0,0,0,25,0.13,0.34,0.49,0.38,0.53,0.23,3.60,3.66,11.58,0.77,300.99,37.46,-27.86,1.62,354.83,0.67,8.40,42.8569,42.38,164.1528982,51.64
38,Labelled,water,2,0,0,1,0,0,0,0,0,0,18,0.09,0.24,0.57,0.52,1.18,0.17,1.04,1.83,0.00,0.64,159.47,31.69,-28,1.54,232.52,0.66,13.53,55.9817,34.19,113.1222652,112.23
39,control,water,3,0,0,1,0,0,0,0,0,0,32,0.11,0.26,0.53,0.88,0.60,0.15,1.27,3.11,2.94,0.91,-0.83,40.74,-29.07,1.28,0.82,0.69,3.79,80.5008,2.84,209.7397086,2.42
40,control,drought,4,0,0,1,0,0,0,0,0,0,36,0.14,0.21,0.46,0.56,0.89,0.14,1.43,3.12,3.33,1.01,1.37,41.99,-29.06,1.30,2.03,0.75,3.19,78.4125,2.75,87.77784375,3.64
41,Labelled,drought,3,0,0,0,1,0,0,0,0,0,21,0.09,0.15,0.39,0.43,1.43,0.13,2.09,3.76,3.32,0.85,262.54,44.83,-27.74,1.24,135.07,0.61,11.28,66.1228,43.52,199.7507928,237.8
42,Labelled,drought,2,0,0,0,1,0,0,0,0,0,28,0.09,0.28,0.52,0.55,1.26,0.13,1.94,2.69,8.80,0.76,243.72,46.52,-27.03,1.56,299.7,0.64,10.34,73.3188,42.37,179.2744184,94.34
43,Labelled,drought,1,0,0,0,1,0,0,0,0,0,24,0.09,0.27,0.59,0.69,1.56,0.18,1.81,2.35,1.84,0.77,174.24,42.90,-28.34,1.42,273.87,0.72,12.59,53.1535,32.89,216.5110369,95.81
44,Labelled,drought,2,0,0,0,1,0,0,0,0,0,19,0.16,0.27,0.53,0.54,0.83,0.07,1.91,3.04,7.93,0.65,238.01,34.60,-28.81,1.45,176.57,0.72,13.00,70.768,35.42,198.7227874,125.24
45,Labelled,water,3,0,0,0,1,0,0,0,0,0,15,0.06,0.19,0.94,1.03,0.56,0.09,1.06,1.94,0.00,0.83,96.02,41.40,-27.86,1.47,233.09,0.65,9.60,77.7368,47.89,152.4235223,98.53
46,Labelled,water,4,0,0,0,1,0,0,0,0,0,31,0.15,0.29,0.56,0.49,0.63,0.07,4.83,3.25,6.83,1.00,135.04,32.52,-28.83,1.36,58.17,0.68,15.65,21.1482,388.15,175.7708601,416.37
47,Labelled,water,1,0,0,0,1,0,0,0,0,0,38,0.16,0.30,0.57,0.45,1.60,0.18,1.51,1.72,3.85,0.77,320.59,40.42,-28.22,1.40,308,0.61,13.34,73.6295,29.7,238.7276171,55.35
48,Labelled,water,2,0,0,0,1,0,0,0,0,0,36,0.08,0.46,0.36,0.52,1.02,0.17,1.07,2.46,0.00,0.84,205.69,37.64,-28.44,1.91,261.71,0.61,11.05,66.2225,22.28,235.4173741,126.17
49,control,water,3,0,0,0,1,0,0,0,0,0,31,0.11,0.28,0.52,0.51,1.00,0.15,2.41,3.95,4.08,0.68,0.35,42.91,-29.39,1.11,-0.15,0.63,3.62,45.5358,1.01,154.7641891,3.45
50,control,drought,4,0,0,0,1,0,0,0,0,0,19,0.06,0.22,1.15,1.09,1.64,0.16,1.33,3.82,4.30,0.76,-0.41,41.17,-27.08,1.31,1.9,0.71,4.15,26.8565,3.25,212.2841283,3.67
51,Labelled,drought,2,0,0,0,0,1,0,0,0,0,10,0.09,0.19,0.54,0.58,0.94,0.15,1.73,2.98,3.60,0.65,282.65,44.95,-27.25,1.59,134.83,0.62,12.99,54.7259,35.98,147.1678549,163.8
52,Labelled,drought,1,0,0,0,0,1,0,0,0,0,22,0.08,0.24,0.59,0.74,1.10,0.18,1.33,2.95,0.00,0.74,128.15,42.76,-27.09,1.93,234.07,0.69,11.55,74.7353,17.31,92.07798976,213.89
53,Labelled,drought,1,0,0,0,0,1,0,0,0,0,29,0.06,0.21,0.97,0.89,0.73,0.11,0.78,1.70,4.65,0.84,160.02,40.00,-27.27,1.71,115.25,0.68,9.40,90.8059,34.91,230.9594098,128.33
54,Labelled,drought,2,0,0,0,0,1,0,0,0,0,30,0.18,0.21,0.49,0.79,0.90,0.17,1.88,2.20,0.00,0.81,164.66,38.33,-28.49,1.60,259.93,0.58,13.23,20.886,30.23,124.3876221,95.04
55,Labelled,water,3,0,0,0,0,1,0,0,0,0,18,0.10,0.25,0.22,1.27,1.70,0.13,2.08,3.56,3.96,0.75,309.77,43.23,-28.06,1.11,240.46,0.67,17.91,52.0496,77.91,77.91975408,99.73
56,Labelled,water,4,0,0,0,0,1,0,0,0,0,26,0.15,0.31,0.55,0.84,0.87,0.16,1.13,1.76,0.00,0.72,216.54,43.19,-28.72,1.51,166.34,0.67,10.97,83.3083,54.72,23.51258306,149.75
57,Labelled,water,1,0,0,0,0,1,0,0,0,0,28,0.12,0.31,0.45,0.52,0.93,0.20,1.96,3.10,5.75,0.83,233.88,37.10,-27.41,1.57,420.53,0.69,12.00,23.7238,87.16,190.2761599,85.98
58,Labelled,water,2,0,0,0,0,1,0,0,0,0,38,0.20,0.40,0.47,0.40,1.23,0.19,2.25,3.27,8.33,0.81,310.59,42.95,-27.94,1.33,180.93,0.69,14.69,51.3718,47.78,173.9203117,110.71
59,control,water,3,0,0,0,0,1,0,0,0,0,15,0.09,0.28,0.54,0.44,1.07,0.19,1.69,2.85,6.22,0.87,6.31,43.24,-29.04,1.26,12.15,0.67,3.00,57.0163,3.69,177.8590437,4.25
60,control,drought,4,0,0,0,0,0,1,0,0,0,17,0.06,0.16,1.11,0.74,1.61,0.19,1.20,3.59,4.43,0.80,8.98,43.31,-27.12,1.63,15.07,0.60,5.00,78.0511,4.15,235.6857836,5.36
61,Labelled,drought,4,0,0,0,0,0,1,0,0,0,16,0.15,0.19,0.73,0.73,0.96,0.28,2.29,3.52,4.57,0.65,237.82,42.99,-28.26,1.51,320.18,0.66,14.82,48.6388,40.25,169.8060127,120.46
62,Labelled,drought,2,0,0,0,0,0,1,0,0,0,22,0.08,0.21,0.96,0.96,1.09,0.20,0.96,2.05,3.37,0.77,225.41,42.60,-28.05,1.38,159.36,0.60,9.57,81.4123,38.71,196.9996797,116.87
