species,location,habitat,id,bagging,rinsing,bagging.date,bagging.hour,collection.date,collection.hour,year,temp,hum,plant.no,flower.no,flower.age,flower.sex,sugar in micrograms/flower/24h,sugarmax in micrograms/flower/24h
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-12,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,1,12,m,h,96.81556435,311.4585707
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-13,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,1,13,m,h,76.51172283,151.7580709
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-14,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,1,14,m,h,66.2777964,165.191352
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-15,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,1,15,m,h,NA,NA
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-16,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,1,16,m,h,120.8129086,128.0359625
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-17,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,1,17,o,h,NA,NA
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-18,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,2,18,m,h,94.16057196,374.6636615
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-19,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,2,19,m,h,62.26070311,222.212474
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-20,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,2,20,m,h,12.99725879,92.4551593
Acer pseudoplatanus,clifton-suspension bridge,grassland,2012-Acer pseudoplatanus-clifton-suspension bridge-bag-21,bag,Y,3/5/12,16:00,4/5/12,15:00,2012,10,70,2,21,m,h,47.86753305,147.1314823
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-1,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,1,1,m,h,76.99443033,76.99443033
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-10,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,4,10,y,h,139.5103444,139.5103444
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-2,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,1,2,m,h,80.92588768,80.92588768
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-3,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,1,3,m,h,49.160952,49.160952
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-4,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,2,4,y,h,28.49367655,28.49367655
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-5,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,2,5,m,h,76.08777485,76.08777485
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-6,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,3,6,m,h,72.55519138,72.55519138
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-7,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,3,7,y,h,14.20687024,14.20687024
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-8,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,4,8,m,h,71.76412459,71.76412459
Acer pseudoplatanus,river frome,wetland,2012-Acer pseudoplatanus-river frome-bag-9,bag,N,15/04/2012,16:00,16/04/2012,14:30,2012,14,42,4,9,y,h,98.54461044,98.54461044
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-12,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,1,12,m,m,15.43727698,20.053404
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-13,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,1,13,m,m,16.57449078,20.053404
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-14,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,2,14,m,f,0,0
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-15,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,2,15,m,m,18.30379176,22.58168541
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-16,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,3,16,m,m,0,0
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-17,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,3,17,m,m,5.006971755,7.512857906
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-18,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,4,18,m,f,6.161503593,7.512857906
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-19,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,4,19,m,m,16.46207427,25.0955295
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-20,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,5,20,m,f,0,0
Achillea millefolium,brandon hill,grassland-nature reserve,2011-Achillea millefolium-brandon hill-bag-21,bag,Y,27/07/2011,11:30,28/07/2011,14:00,2011,22,66,5,21,m,m,11.97861352,17.53955991
