,nectar.at.flower.scale.in..microgram.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.flower.scale.in..microg.flower.day,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year,nectar.at.vegetative.scale.in..kg.hacover.year
species,mean.nectar.sugar.content.per.flower,var.nectar.sugar.content.per.flower,n.nectar.sugar.content.per.flower,mean.potential.max.nectar.sugar.content.per.flower,var.potential.max.nectar.sugar.content.per.flower,n.potential.max.nectar.sugar.content.per.flower,empirical.nectar.productivity.value,log10(value.plus.1)modelled.nectar.productivity,log10(95%lwr+1)modelled.nectar.productivity,log10(95%upr+1)modelled.nectar.productivity,modelled.nectar.productivity.value,nectar.productivity.default.value,final.nectar.productivity.value,origin.of.values
Acer campestre,NA,NA,NA,NA,NA,NA,NA,2.3887246,1.06359105,3.71385815,243.7510707,NA,243.75,modelled
Acer platanoides,NA,NA,NA,NA,NA,NA,NA,2.70973404,1.33173559,4.08773249,511.547409,NA,511.55,modelled
Acer pseudoplatanus,71.44,1107.89,18,127.84,8868.69,18,243.75,2.3887246,1.06359105,3.71385815,243.7510707,NA,243.75,empirical
Achillea millefolium,7.56,56.35,19,12.7,208.95,19,603.25,2.00056878,1.58930599,2.41183158,99.1310529,NA,603.25,empirical
Achillea ptarmica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegopodium podagraria,NA,NA,NA,NA,NA,NA,NA,2.28689037,1.57436348,2.99941726,192.5933213,NA,192.59,modelled
Aesculus hippocastanum,449.28,162138.03,25,449.28,162138.03,25,NA,2.55261957,0.93808532,4.16715382,355.960014,NA,355.96,modelled
Aethusa cynapium,6.94,93.34,10,7.8,116.12,10,65.17,1.75968888,0.97971814,2.53965961,56.50278468,NA,65.17,empirical
Agrimonia eupatoria,1.37,12.35,20,1.88,22.96,20,0.43,0.0405399,-0.52138932,0.60246911,0.09784214,NA,0.43,empirical
Ajuga reptans,155.06,5791.06,10,155.06,5791.06,10,934.68,2.28912106,1.80226344,2.77597867,193.5902419,NA,934.68,empirical
Allium cepa,206.75,54406.55,20,206.75,54406.55,20,NA,2.38357694,1.61203342,3.15512045,240.8671765,0,0,default
Allium schoenoprasum,263.44,30567.25,10,263.44,30567.25,10,1256.42,2.01781108,1.28873764,2.74688451,103.1864106,NA,1256.42,empirical
Alnus glutinosa,NA,NA,NA,NA,NA,NA,NA,0.90663907,0.14200895,1.67126919,7.06564436,NA,7.07,modelled
Anagallis arvensis,0,0,20,0,0,20,0,-0.30681252,-1.12781575,0.51419072,-0.50661325,NA,0,empirical
Anchusa officinalis,NA,NA,NA,NA,NA,NA,NA,3.10561775,1.49345363,4.71778187,1274.315816,NA,1274.32,modelled
Anemone nemorosa,0.79,6.22,10,2.25,50.8,10,0.01,0.10746266,-0.56799393,0.78291925,0.28074497,NA,0.01,empirical
Angelica sylvestris,15.66,617.81,19,19,760.22,19,93.98,2.5774779,1.76952487,3.38543092,376.9878993,NA,93.98,empirical
Anthriscus sylvestris,11.33,203.25,20,12.29,208.09,20,150.54,2.28689037,1.57436348,2.99941726,192.5933213,NA,150.54,empirical
Arabidopsis thaliana,NA,NA,NA,NA,NA,NA,NA,0.55851342,-0.1794868,1.29651364,2.61837372,NA,2.62,modelled
Arctium agg.,71.76,5871.45,30,73.11,5832.4,30,52.31,2.41031631,1.94268132,2.87795131,256.2268586,NA,52.31,empirical
Arenaria serpyllifolia,NA,NA,NA,NA,NA,NA,NA,0.68795039,-0.24459409,1.62049488,3.87472807,NA,3.87,modelled
Armeria maritima,63.96,2050.6,10,63.96,2050.6,10,99.41,1.88282581,0.87683759,2.88881403,75.35294795,NA,99.41,empirical
Asperula cynanchica,NA,NA,NA,NA,NA,NA,NA,0.4752467,-0.60995405,1.56044744,1.98707891,NA,1.99,modelled
Aster tripolium,29.01,785.67,20,29.01,785.67,20,169.26,NA,NA,NA,NA,NA,169.26,empirical
Atriplex patula,0.1,0.19,20,0.12,0.31,20,0.1,0.16228937,-0.84369885,1.16827759,0.45307949,NA,0.1,empirical
Atriplex portulacoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellis perennis,0.84,1.33,20,1.38,3.61,20,105.23,1.77658489,1.21341104,2.33975874,58.78398921,NA,105.23,empirical
Brassica napus,394.79,90899.48,30,394.79,90899.48,30,268.11,1.83080872,1.17962195,2.48199549,66.7343114,NA,268.11,empirical
Brassica oleracea (cultivated),NA,NA,NA,NA,NA,NA,NA,2.38006859,1.14456242,3.61557475,238.9211797,0,0,default
Brassica rapa,165.4,1407.31,10,165.4,1407.31,10,237.25,2.02361888,1.37037922,2.67685854,104.5890492,0,0,default
Buddleja davidii,42.45,1813.88,19,88.15,6568.81,19,943.12,2.87975318,2.34276363,3.41674272,757.1465707,NA,943.12,empirical
Calluna vulgaris,31.76,773.56,20,54.03,2233.57,20,120.57,2.32473375,1.63705357,3.01241392,210.219372,NA,120.57,empirical
Caltha palustris,4.37,33.45,15,30.3,1274.8,15,0.51,0.94602415,0.47957625,1.41247205,7.8312901,NA,0.51,empirical
Calystegia sepium,1800.78,2036868.88,20,1800.78,2036868.88,20,132.61,2.24457834,1.68407754,2.80507914,174.6217664,NA,132.61,empirical
Campanula glomerata,NA,NA,NA,NA,NA,NA,NA,2.51398732,1.97811118,3.04986345,325.5782942,NA,325.58,modelled
Campanula patula,NA,NA,NA,NA,NA,NA,NA,3.0158105,1.85097305,4.18064796,1036.075809,NA,1036.08,modelled
Campanula rotundifolia,290.18,37077.3,15,290.18,37077.3,15,89.79,2.51398732,1.97811118,3.04986345,325.5782942,NA,89.79,empirical
Capsella bursa-pastoris,0.39,2.76,18,0.28,1.39,18,1.44,1.06887801,0.38439872,1.75335731,10.71866162,NA,1.44,empirical
Cardamine hirsuta/flexuosa,4.5,37.66,10,9.11,282.62,10,14.26,1.46504286,0.81051639,2.11956933,28.17714955,NA,14.26,empirical
Cardamine pratensis,58.68,3525.84,20,58.68,3525.84,20,51.14,2.39522923,1.62673625,3.16372222,247.4444114,NA,51.14,empirical
Castanea sativa,2.15,16.07,18,5.93,93.98,18,14.25,0.90663907,0.14200895,1.67126919,7.06564436,NA,14.25,empirical
Centaurea nigra,198.99,23157.83,29,191.96,17631.84,29,2569.17,2.3655599,2.03339428,2.69772552,231.0384188,NA,2569.17,empirical
Centaurea scabiosa,NA,NA,NA,NA,NA,NA,NA,2.3655599,2.03339428,2.69772552,231.0384188,NA,231.04,modelled
Cerastium fontanum,26.93,290.72,17,31.6,449.11,17,23.26,0.54257692,-0.08000278,1.16515661,2.48800353,NA,23.26,empirical
Cerastium glomeratum,NA,NA,NA,NA,NA,NA,NA,0.1775858,-0.49531605,0.85048765,0.50517086,NA,0.51,modelled
Chamerion angustifolium,941.59,315655.6,20,941.59,315655.6,20,335.03,NA,NA,NA,NA,NA,335.03,empirical
Chrysosplenium oppositifolium,NA,NA,NA,NA,NA,NA,NA,1.68833106,0.42853835,2.94812377,47.79002721,NA,47.79,modelled
Circaea lutetiana,6.52,88.69,19,11.29,267.51,19,3.28,1.23148887,0.33678913,2.12618862,16.04075655,NA,3.28,empirical
Cirsium acaule,66.45,1603.53,10,66.45,1603.53,10,526.88,2.17274974,1.7243917,2.62110777,147.8503082,NA,526.88,empirical
